"id","day","previous_deaths","new_deaths","previous_cases","new_cases","daily_AQI"
1037,50,0,0,0,0,NA
1037,57,0,0,0,0,NA
1037,64,0,0,2,4,NA
1037,71,0,0,5,5,NA
1037,78,0,1,9,10,NA
1037,85,1,0,20,5,NA
1037,92,1,0,28,7,NA
1037,99,1,0,31,0,NA
1037,106,1,0,31,2,NA
1037,113,1,0,34,0,NA
1037,120,1,0,33,1,NA
1037,127,1,0,35,6,NA
1039,1,0,0,0,0,NA
1039,8,0,0,0,0,NA
1039,15,0,0,0,0,NA
1039,22,0,0,0,0,NA
1039,29,0,0,0,0,NA
1039,36,0,0,0,0,NA
1039,43,0,0,0,0,NA
1039,50,0,0,0,0,NA
1039,57,0,0,0,0,NA
1039,64,0,0,0,3,NA
1039,71,0,0,3,6,NA
1039,78,0,0,10,8,NA
1039,85,0,0,18,10,NA
1039,92,0,1,29,9,NA
1039,99,1,0,36,10,NA
1039,106,1,0,48,10,NA
1039,113,1,0,56,3,NA
1039,120,1,0,60,16,NA
1039,127,1,0,77,6,NA
1041,1,0,0,0,0,NA
1041,8,0,0,0,0,NA
1041,15,0,0,0,0,NA
1041,22,0,0,0,0,NA
1041,29,0,0,0,0,NA
1041,36,0,0,0,0,NA
1041,43,0,0,0,0,NA
1041,50,0,0,0,0,NA
1041,57,0,0,0,0,NA
1041,64,0,0,0,1,NA
1041,71,0,0,1,1,NA
1041,78,0,0,2,1,NA
1041,85,0,0,5,3,NA
1041,92,0,0,8,11,NA
1041,99,0,0,19,11,NA
1041,106,0,1,31,20,NA
1041,113,1,1,50,4,NA
1041,120,2,0,52,14,NA
1041,127,2,1,72,12,NA
1043,1,0,0,0,0,NA
1043,8,0,0,0,0,NA
1043,15,0,0,0,0,NA
1043,22,0,0,0,0,NA
1043,29,0,0,0,0,NA
1043,36,0,0,0,0,NA
1043,43,0,0,0,0,NA
1043,50,0,0,0,0,NA
1043,57,0,0,0,4,NA
1043,64,0,1,6,5,NA
1043,71,1,0,9,13,NA
1043,78,1,0,22,18,NA
1043,85,1,-1,40,4,NA
1043,92,0,0,44,11,NA
1043,99,0,0,55,4,NA
1043,106,0,0,61,8,NA
1043,113,0,0,67,4,NA
1043,120,0,0,72,17,NA
1043,127,0,1,96,62,NA
1045,1,0,0,0,0,NA
1045,8,0,0,0,0,NA
1045,15,0,0,0,0,NA
1045,22,0,0,0,0,NA
1045,29,0,0,0,0,NA
1045,36,0,0,0,0,NA
1045,43,0,0,0,0,NA
1045,50,0,0,0,0,NA
1045,57,0,0,0,0,NA
1045,64,0,0,0,0,NA
1045,71,0,0,1,4,NA
1045,78,0,0,6,8,NA
1045,85,0,0,14,10,NA
1045,92,0,0,22,3,NA
1045,99,0,0,27,9,NA
1045,106,0,0,36,19,NA
1045,113,0,0,53,18,NA
1045,120,0,0,75,25,NA
1045,127,0,0,99,27,NA
1047,1,0,0,0,0,NA
1047,8,0,0,0,0,NA
1047,15,0,0,0,0,NA
1047,22,0,0,0,0,NA
1047,29,0,0,0,0,NA
1047,36,0,0,0,0,NA
1047,43,0,0,0,0,NA
1047,50,0,0,0,0,NA
1047,57,0,0,0,2,NA
1047,64,0,0,2,0,NA
1047,71,0,0,4,5,NA
1047,78,0,2,7,11,NA
1047,85,2,0,21,12,NA
1047,92,2,1,29,7,NA
1047,99,3,0,41,39,NA
1047,106,3,0,83,53,NA
1047,113,3,0,132,43,NA
1047,120,3,0,173,60,NA
1047,127,3,0,244,55,NA
1049,1,0,0,0,0,28
1049,8,0,0,0,0,36
1049,15,0,0,0,0,25
1049,22,0,0,0,0,31
1049,29,0,0,0,0,31
1049,36,0,0,0,0,36
1049,43,0,0,0,0,NA
1049,50,0,0,0,0,NA
1049,57,0,0,0,0,NA
1049,64,0,0,1,5,NA
1049,71,0,0,8,9,NA
1049,78,0,0,15,15,NA
1049,85,0,2,32,29,NA
1049,92,2,0,61,19,NA
1049,99,2,0,77,32,NA
1049,106,2,0,124,70,NA
1049,113,2,1,185,27,NA
1049,120,3,0,207,34,NA
1049,127,3,0,241,17,NA
1051,1,0,0,0,0,NA
1051,8,0,0,0,0,NA
1051,15,0,0,0,0,NA
1051,22,0,0,0,0,NA
1051,29,0,0,0,0,NA
1051,36,0,0,0,0,NA
1051,43,0,0,0,0,NA
1051,50,0,0,0,4,NA
1051,57,0,0,5,5,NA
1051,64,0,0,10,5,NA
1051,71,0,0,17,8,NA
1051,78,0,0,27,25,NA
1051,85,0,1,54,27,NA
1051,92,1,0,74,10,NA
1051,99,1,2,86,37,NA
1051,106,3,2,127,36,NA
1051,113,5,2,169,69,NA
1051,120,7,0,234,74,NA
1051,127,7,2,313,72,NA
1053,1,0,0,0,0,NA
1053,8,0,0,0,0,NA
1053,15,0,0,0,0,NA
1053,22,0,0,0,0,NA
1053,29,0,0,0,0,NA
1053,36,0,0,0,0,NA
1053,43,0,0,0,0,NA
1053,50,0,0,0,0,NA
1053,57,0,0,0,0,NA
1053,64,0,0,0,1,NA
1053,71,0,0,2,2,NA
1053,78,0,0,5,6,NA
1053,85,0,1,11,9,NA
1053,92,1,0,21,9,NA
1053,99,1,2,28,3,NA
1053,106,3,0,33,8,NA
1053,113,3,0,39,1,NA
1053,120,3,0,39,9,NA
1053,127,3,0,49,27,NA
1055,1,0,0,0,0,NA
1055,8,0,0,0,0,NA
1055,15,0,0,0,0,NA
1055,22,0,0,0,0,NA
1055,29,0,0,0,0,NA
1055,36,0,0,0,0,NA
1055,43,0,0,0,0,NA
1055,50,0,0,0,0,NA
1055,57,0,0,0,0,NA
1055,64,0,1,4,10,NA
1055,71,1,3,13,33,NA
1055,78,4,3,49,35,NA
1055,85,7,1,86,38,NA
1055,92,8,0,120,23,NA
1055,99,8,2,139,19,NA
1055,106,10,0,161,39,NA
1055,113,10,0,198,26,NA
1055,120,10,1,226,17,NA
1055,127,11,1,244,22,NA
1057,1,0,0,0,0,NA
1057,8,0,0,0,0,NA
1057,15,0,0,0,0,NA
1057,22,0,0,0,0,NA
1057,29,0,0,0,0,NA
1057,36,0,0,0,0,NA
1057,43,0,0,0,0,NA
1057,50,0,0,0,0,NA
1057,57,0,0,0,0,NA
1057,64,0,0,0,1,NA
1057,71,0,0,1,0,NA
1057,78,0,0,1,3,NA
1057,85,0,0,4,0,NA
1057,92,0,0,4,2,NA
1057,99,0,0,6,0,NA
1057,106,0,0,7,3,NA
1057,113,0,0,10,0,NA
1057,120,0,0,10,4,NA
1057,127,0,0,13,3,NA
1059,1,0,0,0,0,NA
1059,8,0,0,0,0,NA
1059,15,0,0,0,0,NA
1059,22,0,0,0,0,NA
1059,29,0,0,0,0,NA
1059,36,0,0,0,0,NA
1059,43,0,0,0,0,NA
1059,50,0,0,0,0,NA
1059,57,0,0,0,2,NA
1059,64,0,0,3,1,NA
1059,71,0,0,4,4,NA
1059,78,0,1,8,7,NA
1059,85,1,-1,17,8,NA
1059,92,0,0,25,23,NA
1059,99,0,1,58,119,NA
1059,106,1,2,184,106,NA
1059,113,3,2,288,129,NA
1059,120,5,1,409,99,NA
1059,127,6,2,514,80,NA
1061,1,0,0,0,0,NA
1061,8,0,0,0,0,NA
1061,15,0,0,0,0,NA
1061,22,0,0,0,0,NA
1061,29,0,0,0,0,NA
1061,36,0,0,0,0,NA
1061,43,0,0,0,0,NA
1061,50,0,0,0,0,NA
1061,57,0,0,0,0,NA
1061,64,0,0,0,0,NA
1061,71,0,0,0,1,NA
1061,78,0,0,1,1,NA
1061,85,0,0,2,3,NA
1061,92,0,0,6,4,NA
1061,99,0,0,9,2,NA
1061,106,0,0,11,6,NA
1061,113,0,0,18,9,NA
1061,120,0,0,27,14,NA
1061,127,0,0,40,4,NA
1063,1,0,0,0,0,NA
1063,8,0,0,0,0,NA
1063,15,0,0,0,0,NA
1063,22,0,0,0,0,NA
1063,29,0,0,0,0,NA
1063,36,0,0,0,0,NA
1063,43,0,0,0,0,NA
1063,50,0,0,0,0,NA
1063,57,0,0,0,0,NA
1063,64,0,0,0,4,NA
1063,71,0,0,4,6,NA
1063,78,0,0,12,8,NA
1063,85,0,0,20,22,NA
1063,92,0,1,41,10,NA
1063,99,1,1,55,14,NA
1063,106,2,2,67,10,NA
1063,113,4,0,76,12,NA
1063,120,4,0,87,5,NA
