"id","day","previous_deaths","new_deaths","previous_cases","new_cases"
"15",46,2714,227,3344,76
"08",46,34952,2316,18677,443
"06",46,2391,171,2299,81
"12",46,3311,253,4429,163
"07",46,8829,682,5020,114
"03",46,151312,10022,54802,1388
"11",46,9267,669,4955,96
"14",46,208,13,234,8
"01",46,17252,1454,14522,639
"16",46,2478,225,2716,82
"20",46,640,64,1026,51
"19",46,1475,138,2232,73
"09",46,4893,408,6552,173
"22",46,3026,268,2708,106
"10",46,658,51,1298,9
"02",46,1120,105,868,18
"05",46,9747,756,12933,523
"13",47,2384,198,2014,83
"17",47,151,15,308,5
"21",47,2191,191,1955,52
"18",47,730,65,901,27
"15",47,2945,231,3442,98
"08",47,37349,2397,19128,451
"06",47,2570,179,2349,50
"12",47,3574,263,4583,154
"07",47,9538,709,5191,171
"03",47,161550,10238,56048,1246
"11",47,9949,682,5084,129
"14",47,221,13,243,9
"01",47,18784,1532,15012,490
"16",47,2716,238,2809,93
"20",47,709,69,1063,37
"19",47,1623,148,2302,70
"09",47,5347,454,6727,175
"22",47,3301,275,2816,108
"10",47,710,52,1302,4
"02",47,1227,107,879,11
"05",47,10540,793,13421,488
"13",48,2590,206,2120,106
"17",48,168,17,312,4
"21",48,2391,200,1957,2
"18",48,796,66,915,14
"15",48,3183,238,3517,75
"08",48,39830,2481,19635,507
"06",48,2755,185,2393,44
"12",48,3847,273,4723,140
"07",48,10272,734,5376,185
"03",48,172061,10511,57592,1544
"11",48,10638,689,5211,127
"14",48,235,14,246,3
"01",48,20417,1633,16008,996
"16",48,2969,253,2904,95
"20",48,782,73,1091,28
"19",48,1777,154,2364,62
"09",48,5814,467,6958,231
"22",48,3585,284,2970,154
"10",48,762,52,1309,7
"02",48,1334,107,902,23
"05",48,11371,831,13768,347
"13",49,2802,212,2160,40
"17",49,186,18,315,3
"21",49,2596,205,2098,141
"18",49,862,66,923,8
"15",49,3425,242,3604,87
