"id","region","city","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"15","Campania","Benevento",13670.598,18.3175141242938,17.3062780269058,22.648231511254,13.46,923,424.3919688
"15","Campania","Benevento",13670.598,22.6534161490683,13.9203791469194,21.5345762711864,13.46,923,424.3919688
"15","Campania","Benevento",13670.598,18.0023622047244,14.9768786127168,20.3598455598456,13.46,923,424.3919688
"15","Campania","Caserta",13670.598,21.3310975609756,11.5351145038168,29.3563636363636,13.46,923,424.3919688
"15","Campania","Caserta",13670.598,32.0303167420814,11.4703862660944,25.1786026200873,13.46,923,424.3919688
"15","Campania","Caserta",13670.598,23.6200892857143,10.6603686635945,30.8620192307692,13.46,923,424.3919688
"15","Campania","Caserta",13670.598,21.4668639053254,12.5614035087719,27.8047058823529,13.46,923,424.3919688
"15","Campania","Napoli",13670.598,34.2982524271845,16.0256302521008,29.3708994708995,13.46,923,424.3919688
"15","Campania","Napoli",13670.598,32.2026258205689,14.5477777777778,29.2552845528455,13.46,923,424.3919688
"15","Campania","Napoli",13670.598,32.951094890511,12.1497013142174,29.6119765494137,13.46,923,424.3919688
"15","Campania","Napoli",13670.598,30.5078139534884,11.2564399421129,27.4074112734864,13.46,923,424.3919688
"15","Campania","Salerno",13670.598,34.3414035087719,11.5925925925926,22.6829457364341,13.46,923,424.3919688
"15","Campania","Salerno",13670.598,34.6121212121212,11.45859030837,21.041935483871,13.46,923,424.3919688
"15","Campania","Salerno",13670.598,30.7753164556962,9.50281690140845,22.0297297297297,13.46,923,424.3919688
"15","Campania","Salerno",13670.598,35.1929166666667,9.69823529411765,21.0070588235294,13.46,923,424.3919688
"08","Emilia-Romagna","Bologna",22444.542,34.8924369747899,13.9489361702128,20.4245014245014,22.94,1209,198.6887057
"08","Emilia-Romagna","Bologna",22444.542,31.4543103448276,19.2478632478632,26.1466275659824,22.94,1209,198.6887057
"08","Emilia-Romagna","Bologna",22444.542,38.4431034482759,13.8904109589041,22.304347826087,22.94,1209,198.6887057
"08","Emilia-Romagna","Bologna",22444.542,30.4456928838951,NA,23.134110787172,22.94,1209,198.6887057
"08","Emilia-Romagna","Ferrara",22444.542,25.7804347826087,12.3333333333333,21.7872340425532,22.94,1209,198.6887057
"08","Emilia-Romagna","Ferrara",22444.542,27.9662337662338,16.3193277310924,26.9787234042553,22.94,1209,198.6887057
"08","Emilia-Romagna","Ferrara",22444.542,28.3430962343096,14.6050420168067,24.9279661016949,22.94,1209,198.6887057
