"id","region","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"16","Puglia",19540.5181,22.496400287977,12.2086049543677,23.5786516853933,14.34,1013,206.1896711
"16","Puglia",19540.5181,22.0956930305403,12.4895316804408,21.5192629815745,14.34,1013,206.1896711
"16","Puglia",19540.5181,21.7752336448598,12.6811224489796,23.7354183590577,14.34,1013,206.1896711
"16","Puglia",19540.5181,10.7527484143763,12.2851948051948,22.3841191066998,14.34,1013,206.1896711
"20","Sardegna",24099.453,25.2854341736695,8.88577405857741,23.5111111111111,15.55,1364,68.03436576
"20","Sardegna",24099.453,27.1796511627907,10.6527659574468,25.0997076023392,15.55,1364,68.03436576
"20","Sardegna",24099.453,26.7684210526316,11.2057522123894,21.3213541666667,15.55,1364,68.03436576
"20","Sardegna",24099.453,19.4702479338843,NA,NA,15.55,1364,68.03436576
"19","Sicilia",25832.5454,33.3575178997613,NA,30.3724745134384,13.64,989,193.5500711
"19","Sicilia",25832.5454,30.9727620504973,NA,25.5432823813355,13.64,989,193.5500711
"19","Sicilia",25832.5454,27.5459859703819,10.8161290322581,29.3235431235431,13.64,989,193.5500711
"09","Toscana",22987.4371,27.8857235561324,11.0156931124673,19.4288354898336,20.64,1252,162.2469257
"09","Toscana",22987.4371,29.3320420223244,13.0733788395904,20.5672009864365,20.64,1252,162.2469257
"09","Toscana",22987.4371,27.3971428571429,12.5329289428076,20.6354037267081,20.64,1252,162.2469257
"09","Toscana",22987.4371,25.4142364106989,10.5241596638655,18.6033848417954,20.64,1252,162.2469257
"10","Umbria",8464.2234,21.181414701803,13.8773722627737,22.4308131241084,18.35,1402,104.205071
"10","Umbria",8464.2234,23.4817538896747,16.7442196531792,24.9929378531073,18.35,1402,104.205071
"10","Umbria",8464.2234,19.2324324324324,15.399375975039,24.0607344632768,18.35,1402,104.205071
"10","Umbria",8464.2234,19.4660098522168,14.036717428088,20.8023569023569,18.35,1402,104.205071
"02","Valle d'Aosta",3260.8546,NA,NA,NA,21.9,1448,38.5377502
"05","Veneto",18345.3694,32.156846473029,19.5413793103448,28.0033783783784,20.67,1054,267.416474
"05","Veneto",18345.3694,34.2687394957983,26.3575129533679,34.7276559865093,20.67,1054,267.416474
"05","Veneto",18345.3694,30.644131097561,22.2926829268293,30.8247501921599,20.67,1054,267.416474
"05","Veneto",18345.3694,31.1406369426752,18.8901098901099,31.3077889447236,20.67,1054,267.416474
"14","Molise",4460.4373,NA,NA,NA,14.68,1063,68.51727296
"21","P.A. Bolzano",7397.8574,NA,NA,NA,26.03,1646,71.80160028
